ID       | Город                          | Регион                        
11249    | Алфертищево (Московская область) | Московская область            
11018    | Алферьевка                     | Пензенская область            
7609     | Алферьево                      | Нижегородская область         
8220     | Алфимово (Московская область)  | Московская область            
5681     | Алхан-Кала                     | Чеченская республика          
11384    | Алханай (Забайкальский край)   | Забайкальский край            
11462    | Алхасты (Ингушетия)            | Республика Ингушетия          
2174     | Алчевск                        | Луганская Народная Республика 
7309     | Альбитуй                       | Забайкальский край            
5568     | Альбурикент                    | Республика Дагестан           
4828     | Альменево                      | Курганская область            
1627     | Альметьевск                    | Республика Татарстан          
9402     | Альняш                         | Пермский край                 
9350     | Алябьевский                    | Ханты-Мансийский АО - Югра    
5906     | Алёшино (Сасовский район)      | Рязанская область             
11070    | Алёшня                         | Тульская область              
7452     | Амазар                         | Забайкальский край            
3240     | Амвросиевка                    | Донецкая Народная Республика  
7325     | Амга                           | Республика Саха (Якутия)      
5378     | Амдерма                        | Ненецкий АО                   
5860     | Амзя (Нефтекамск, Башкортостан) | Республика Башкортостан       
11385    | Амитхаша (Забайкальский край)  | Забайкальский край            
10333    | Амосовка                       | Курская область               
5219     | Амурзет                        | Еврейская АО                  
1976     | Амурск                         | Хабаровский край              
11371    | Амурское (Амурская область)    | Амурская область              
7532     | Анавгай                        | Камчатский край               
219      | Анадырь                        | Чукотский АО                  
1440     | Анапа                          | Краснодарский край            
3305     | Анапская                       | Краснодарский край            
8839     | Анастасиевка                   | Ростовская область            
3306     | Анастасиевская                 | Краснодарский край            
7198     | Анастасово                     | Чувашская Республика          
7106     | Анаткасы                       | Чувашская Республика          
8477     | Анашкино                       | Вологодская область           
1126     | Ангарск                        | Иркутская область             
7369     | Ангарский                      | Красноярский край             
9406     | Ангасяк                        | Республика Башкортостан       
7306     | Ангоя                          | Республика Бурятия            
5663     | Анджиевский                    | Ставропольский край           
5569     | Анди                           | Республика Дагестан           
4997     | Андра                          | Ханты-Мансийский АО - Югра    
1784     | Андреаполь                     | Тверская область              
9667     | Андрее-Дмитриевская            | Краснодарский край            
6339     | Андреевка (Московская область) | Московская область            
6773     | Андреевка (Хасанский район)    | Приморский край               
9267     | Андреево                       | Пермский край                 
8810     | Андреево-Мелентьево            | Ростовская область            
5883     | Андреевский (Тюменская область) | Тюменская область             
5509     | Андрюки                        | Краснодарский край            
1230     | Анжеро-Судженск                | Кемеровская область           
5463     | Анзорей                        | Кабардино-Балкарская республика
1962     | Анива                          | Сахалинская область           
8069     | Анисимово                      | Алтайский край                
10688    | Аниховка                       | Оренбургская область          
2438     | Анна                           | Воронежская область           
10799    | Анненково                      | Республика Мордовия           
4319     | Анненский Мост                 | Вологодская область           
5409     | Аннино (Ленинградская область) | Ленинградская область         
10271    | Анновка                        | Белгородская область          
11486    | Аннолово                       | Ленинградская область         
8467     | Анопино                        | Владимирская область          
5570     | Ансалта                        | Республика Дагестан           
9182     | Антипаюта                      | Ямало-Ненецкий АО             
9314     | Антипина                       | Пермский край                 
4971     | Антипино                       | Тюменская область             
4567     | Антиповка                      | Волгоградская область         
11190    | Антоновка                      | Херсонская область            
7811     | Антоньевка                     | Алтайский край                
3374     | Антрацит                       | Луганская Народная Республика 
4340     | Антропово                      | Костромская область           
7580     | Анучино                        | Приморский край               
11051    | Анучино (Пензенская область)   | Пензенская область            
8571     | Аньково                        | Ивановская область            
7563     | Анюйск                         | Чукотский АО                  
7259     | Апазово                        | Республика Татарстан          
10506    | Апальково                      | Орловская область             
9579     | Апанасенковское                | Ставропольский край           
8835     | Апаринский                     | Ростовская область            
2727     | Апастово                       | Республика Татарстан          
1062     | Апатиты                        | Мурманская область            
10851    | Апраксино                      | Республика Мордовия           
2042     | Апрелевка (Московская область) | Московская область            
1441     | Апшеронск                      | Краснодарский край            
1263     | Арамиль                        | Свердловская область          
9530     | Арани                          | Республика Дагестан           
4438     | Арбаж                          | Кировская область             
10926    | Аргамаково (Пензенская область) | Пензенская область            
5926     | Аргамаково (Рязанская область) | Рязанская область             
7312     | Аргахтах                       | Республика Саха (Якутия)      
5779     | Аргаяш                         | Челябинская область           
5464     | Аргудан                        | Кабардино-Балкарская республика
1501     | Аргун                          | Чеченская республика          
8599     | Аргуново                       | Вологодская область           
1557     | Ардатов                        | Республика Мордовия           
4383     | Ардатов (Нижегородская область) | Нижегородская область         
10635    | Ардатово                       | Республика Мордовия           
1477     | Ардон                          | Республика Северная Осетия-Алания
11538    | Ардонь                         | Брянская область              
7672     | Арефино                        | Нижегородская область         
248      | Арзамас                        | Нижегородская область         
7057     | Арзамасцево                    | Удмуртская Республика         
3744     | Арзгир                         | Ставропольский край           
7514     | Ариадное                       | Приморский край               
8988     | Ариево                         | Республика Башкортостан       
11398    | Арик                           | Кабардино-Балкарская республика
8931     | Арка                           | Республика Башкортостан       
1597     | Аркадак                        | Саратовская область           
7639     | Аркуль                         | Кировская область             
1442     | Армавир                        | Краснодарский край            
7582     | Армань                         | Магаданская область           
4972     | Армизонское                    | Тюменская область             
2699     | Армянск                        | Республика Крым               
4973     | Аромашево                      | Тюменская область             
4493     | Арпачин                        | Ростовская область            
1949     | Арсеньев                       | Приморский край               
4037     | Арсеньево                      | Тульская область              
1628     | Арск                           | Республика Татарстан          
9128     | Артакуль                       | Республика Башкортостан       
5324     | Артезиан                       | Республика Калмыкия           
1950     | Артем                          | Приморский край               
3630     | Артемово                       | Донецкая Народная Республика  
2135     | Артемовск (Донецкая Народная Республика) | Донецкая Народная Республика  
1147     | Артемовск (Красноярский край)  | Красноярский край             
7340     | Артемовский (Иркутская область) | Иркутская область             
1264     | Артемовский (Свердловская область) | Свердловская область          
10689    | Артемьевка                     | Оренбургская область          
4095     | Арти                           | Свердловская область          
7985     | Артын                          | Омская область                
4786     | Артышта                        | Кемеровская область           
10823    | Архангеловка                   | Оренбургская область          
14       | Архангельск                    | Архангельская область         
3307     | Архангельская                  | Краснодарский край            
10195    | Архангельское (Белгородская область) | Белгородская область          
10344    | Архангельское (Воронежская область) | Воронежская область           
7665     | Архангельское (Кировская область) | Кировская область             
8229     | Архангельское (Московская область) | Московская область            
9178     | Архангельское (Пермский край)  | Пермский край                 
5163     | Архангельское (Республика Башкортостан) | Республика Башкортостан       
9525     | Архангельское (Ставропольский край) | Ставропольский край           
5958     | Архангельское (Тульская область, Каменский район) | Тульская область              
5204     | Архара                         | Амурская область              
2754     | Архипо-Осиповка                | Краснодарский край            
6798     | Архиповка                      | Ивановская область            
5640     | Архонская                      | Республика Северная Осетия-Алания
11170    | Архыз                          | Карачаево-Черкесская Республика
6854     | Арчединская                    | Волгоградская область         
7371     | Аршан (Бурятия)                | Республика Бурятия            
11500    | Аршан (Калмыкия)               | Республика Калмыкия           
11469    | Аршты (Ингушетия)              | Республика Ингушетия          
4384     | Арья                           | Нижегородская область         
1265     | Асбест                         | Свердловская область          
7026     | Асеево                         | Республика Татарстан          
6447     | Асекеево                       | Оренбургская область          
1256     | Асино                          | Томская область               
5137     | Аскарово                       | Республика Башкортостан       
6288     | Аскиз                          | Республика Хакасия            
5153     | Аскино                         | Республика Башкортостан       
8923     | Асово                          | Пермский край                 
8870     | Аспа                           | Пермский край                 
5682     | Ассиновская                    | Чеченская республика          
8181     | Астапово (Московская область)  | Московская область            
11055    | Астрадамовка                   | Ульяновская область           
15       | Астрахань                      | Астраханская область          
9376     | Асяново                        | Республика Башкортостан       
7006     | Атабаево                       | Республика Татарстан          
11338    | Атажукино                      | Кабардино-Балкарская республика
8637     | Атамановка (Волгоградская область) | Волгоградская область         
5106     | Атамановка (Читинский район)   | Забайкальский край            
7896     | Атаманово                      | Кемеровская область           
3308     | Атаманская                     | Краснодарский край            
3741     | Атемар                         | Республика Мордовия           
6932     | Атепцево (Московская область)  | Московская область            
4096     | Атиг                           | Свердловская область          
1598     | Аткарск                        | Саратовская область           
7590     | Атласово                       | Камчатский край               
7086     | Атнары                         | Чувашская Республика          
7176     | Атрать                         | Чувашская Республика          
3723     | Атюрьево                       | Республика Мордовия           
2667     | Атяшево                        | Республика Мордовия           
9686     | Аушигер                        | Кабардино-Балкарская республика
10589    | Афанасово                      | Белгородская область          
11521    | Афанасьевка                    | Белгородская область          
4385     | Афанасьево                     | Нижегородская область         
4439     | Афанасьево (Кировская область) | Кировская область             
2708     | Афипский                       | Краснодарский край            
4386     | Афонино                        | Нижегородская область         
5384     | Африканда                      | Мурманская область            
9601     | Ахметовская                    | Краснодарский край            
3966     | Ахтанизовская                  | Краснодарский край            
5510     | Ахтарский                      | Краснодарский край            
1506     | Ахтубинск                      | Астраханская область          
5571     | Ахты                           | Республика Дагестан           
3252     | Ахтырский                      | Краснодарский край            
8020     | Ачаир                          | Омская область                
7863     | Ачаирский                      | Омская область                
3745     | Ачикулак                       | Ставропольский край           
1148     | Ачинск                         | Красноярский край             
4097     | Ачит                           | Свердловская область          
9463     | Ачуево                         | Краснодарский край            
5683     | Ачхой-Мартан                   | Чеченская республика          
1385     | Аша                            | Челябинская область           
9408     | Ашап                           | Пермский край                 
5968     | Ашукино (Московская область)   | Московская область            
6693     | Аэрофлотский                   | Республика Крым               
7071     | Аю                             | Республика Татарстан          
6207     | Ая                             | Алтайский край                
9106     | Аятское                        | Свердловская область          
6659     | Аять                           | Свердловская область          
1740     | Бабаево                        | Вологодская область           
5572     | Бабаюрт                        | Республика Дагестан           
7256     | Бабино                         | Удмуртская Республика         
9451     | Бабка                          | Пермский край                 
5221     | Бабстово                       | Еврейская АО                  
9475     | Бабугент                       | Кабардино-Балкарская республика
1119     | Бабушкин                       | Республика Бурятия            
3931     | Бабынино (Калужская область)   | Калужская область             
6053     | Бабяково                       | Воронежская область           
8518     | Бавлены                        | Владимирская область          
1629     | Бавлы                          | Республика Татарстан          
4494     | Багаевская                     | Ростовская область            
4829     | Баган                          | Новосибирская область         
5780     | Багаряк                        | Челябинская область           
4640     | Багдарин                       | Республика Бурятия            
6694     | Багерово                       | Республика Крым               
5511     | Баговская                      | Краснодарский край            
5907     | Баграмово                      | Рязанская область             
1021     | Багратионовск                  | Калининградская область       
7454     | Бада                           | Забайкальский край            
7377     | Бадар                          | Иркутская область             
10623    | Баевка                         | Ульяновская область           
4893     | Баево                          | Алтайский край                
8120     | Баженово                       | Омская область                
8553     | База                           | Вологодская область           
4170     | Базарные Матаки                | Республика Татарстан          
2707     | Базарный Карабулак             | Саратовская область           
6069     | Базарный Сызган                | Ульяновская область           
8751     | Базковская                     | Ростовская область            
7455     | Бай-Хаак                       | Республика Тыва               
5340     | Байбек                         | Астраханская область          
4098     | Байкалово                      | Республика Башкортостан       
4638     | Байкалово (Свердловская область) | Свердловская область          
1127     | Байкальск                      | Иркутская область             
4743     | Байкит                         | Красноярский край             
7654     | Байково                        | Нижегородская область         
1349     | Баймак                         | Республика Башкортостан       
8901     | Байназарово                    | Республика Башкортостан       
8918     | Байны                          | Свердловская область          
9257     | Байрамгулово                   | Челябинская область           
7222     | Байряка                        | Республика Татарстан          
10600    | Байчурово                      | Воронежская область           
1386     | Бакал                          | Челябинская область           
3657     | Бакалы                         | Республика Башкортостан       
9563     | Бакинская                      | Краснодарский край            
5942     | Баклань (Брянская область)     | Брянская область              
11487    | Баклаши                        | Иркутская область             
4628     | Баковка  (Московская область)  | Московская область            
